frame,numero_pers,distance_x,distance_y,distance_z
17,13,-722.8101,-1215.9037,0
18,0,-14.133415,180.369735,0
18,1,352.400865,-113.16241500000001,0
18,2,-100.75680249999999,-288.884135,0
18,3,126.270555,-1203.3593,0
18,4,325.39793499999996,-1124.67525,0
18,5,194.61479,-1162.5489,0
18,6,261.47036,-1208.4125,0
18,7,-160.061985,-1166.19555,0
18,8,-691.6638,-1505.3727,0
18,9,-232.960685,-1150.002,0
18,10,-331.523865,-1176.8308,0
18,11,-417.98091,-1021.0912149999999,0
18,12,-383.11694,-111.46306,0
18,13,-722.8145,-1215.7417,0
19,0,-14.394698000000002,179.95479999999998,0
19,1,352.398865,-113.1312025,0
19,2,-100.770387,-289.50496499999997,0
19,3,126.399145,-1203.33485,0
19,4,325.420035,-1124.6207,0
19,5,194.714815,-1162.9323,0
19,6,261.44108,-1207.9088,0
19,7,-160.02015,-1166.22645,0
19,8,-691.74695,-1505.9113,0
19,9,-232.94596,-1149.9762500000002,0
19,10,-309.31291,-1176.834,0
19,11,-418.706725,-1026.23145,0
19,12,-383.10168,-111.3684,0
19,13,-722.8865,-1215.5494,0
20,0,-14.397192500000001,179.78279,0
20,1,352.45263,-113.13003499999999,0
20,2,-100.5761925,-289.4836,0
20,3,126.311555,-1203.7406,0
20,4,325.37796000000003,-1124.89815,0
20,5,194.638735,-1163.5652,0
20,6,261.5204,-1207.66155,0
20,7,-156.9719,-1168.0423500000002,0
20,8,-691.60055,-1504.8632,0
20,9,-232.929325,-1149.83795,0
20,10,-309.289105,-1176.73505,0
20,11,-412.54472499999997,-971.383825,0
20,12,-383.3717,-111.86573,0
20,13,-722.99115,-1215.1672,0
21,0,-14.440362999999998,180.38807,0
21,1,352.471815,-113.171255,0
21,2,-100.75800000000001,-288.873415,0
21,3,126.426695,-1203.6592500000002,0
21,4,325.49575000000004,-1124.97425,0
21,5,194.59669,-1162.8835,0
21,6,261.488885,-1208.1826500000002,0
21,7,-160.22965,-1168.076,0
21,8,-691.6287,-1504.8418000000001,0
21,9,-232.95129500000002,-1149.7945,0
21,10,-331.4731,-1176.7192,0
21,11,-417.97899,-1020.2284000000001,0
21,12,-383.38354,-111.884415,0
21,13,-722.9583,-1215.2639,0
22,0,-14.215822000000001,181.26298500000001,0
22,1,352.472595,-113.14664,0
22,2,-100.7632575,-288.808375,0
22,3,126.30172,-1203.6361,0
22,4,325.499495,-1125.0167999999999,0
22,5,194.607015,-1163.1082999999999,0
22,6,261.48543,-1208.3641499999999,0
22,7,-160.14477,-1166.455,0
22,8,-684.16535,-1458.7593,0
22,9,-232.942335,-1149.7566499999998,0
22,10,-331.50133500000004,-1176.7596,0
22,11,-414.78342999999995,-996.3646249999999,0
22,12,-383.39346,-111.92554,0
22,13,-722.9712,-1215.1593,0
23,0,-13.9703445,181.99542,0
23,1,352.49288,-113.21774500000001,0
23,2,-100.962895,-289.458815,0
23,3,126.19808,-1203.89375,0
23,4,325.507125,-1125.0675,0
23,5,194.59662500000002,-1163.27825,0
23,6,261.463975,-1208.0835,0
23,7,-160.182785,-1167.7291,0
23,8,-691.582625,-1504.83015,0
23,9,-232.93896,-1149.7774,0
23,10,-309.302375,-1176.821,0
23,11,-415.121975,-1000.87185,0
