frame,numero_pers,distance_x,distance_y,distance_z
0,1,-11.823105000000002,180.49228499999998,0
0,0,-99.60322,-291.80401,0
1,1,-12.241805000000003,178.936775,0
1,0,-100.45622499999999,-291.9131,0
2,1,-13.0648375,178.18505499999998,0
2,0,-99.86838,-291.290205,0
3,1,-14.1598595,179.534925,0
3,0,-100.656845,-291.07799,0
4,1,-14.260661999999998,180.62730499999998,0
4,0,-100.681775,-290.335595,0
5,1,-14.2071335,180.844115,0
5,0,-100.892335,-289.921545,0
6,1,-14.2134925,180.60076,0
6,0,-101.04708500000001,-289.9162,0
7,1,-13.8577025,180.52243499999997,0
7,0,-101.7655295,-289.5083,0
8,1,-13.712612,180.370805,0
8,0,-101.54657499999999,-289.96673499999997,0
9,1,-13.7637805,180.017515,0
9,0,-101.920095,-289.85235,0
10,1,-13.759975,180.111955,0
10,0,-101.713353,-289.28416,0
11,1,-13.759511500000002,180.169195,0
11,0,-101.72618,-289.28538,0
12,1,-13.7418345,180.467575,0
12,0,-101.82765,-289.821905,0
13,1,-13.710901999999999,180.293585,0
13,0,-101.7641295,-289.27749,0
14,1,-13.738553999999999,180.21381,0
14,0,-101.51547,-289.25673,0
15,1,-13.9608275,180.483815,0
15,0,-101.67707,-289.103975,0
16,1,-14.1250575,180.31808,0
16,0,-101.538535,-289.226855,0
17,1,-14.3365305,179.90737000000001,0
17,0,-100.967275,-288.48558,0
18,1,-14.133415,180.369735,0
18,0,-100.75680249999999,-288.884135,0
19,1,-14.394698000000002,179.95479999999998,0
19,0,-100.770387,-289.50496499999997,0
20,1,-14.397192500000001,179.78279,0
20,0,-100.5761925,-289.4836,0
21,1,-14.440362999999998,180.38807,0
21,0,-100.75800000000001,-288.873415,0
22,1,-14.215822000000001,181.26298500000001,0
22,0,-100.7632575,-288.808375,0
23,1,-13.9703445,181.99542,0
23,0,-100.962895,-289.458815,0
24,1,-13.676663999999999,181.785685,0
24,0,-100.96239750000001,-289.513785,0
25,1,-13.696018,181.63785000000001,0
25,0,-100.79294999999999,-289.410555,0
26,1,-14.318217500000001,179.61336999999997,0
26,0,-100.8485575,-289.60663,0
27,1,-14.377365000000001,178.81357500000001,0
27,0,-101.43952949999999,-289.35130499999997,0
28,1,-14.386851499999999,178.134065,0
28,0,-70.3405305,-289.2208,0
29,1,-13.211604,180.254975,0
29,0,-100.922,-289.42813,0
30,1,-13.2019535,184.65928,0
30,0,-70.057737,-289.80198,0
31,1,-12.974398999999998,187.00334500000002,0
31,0,-70.31604200000001,-289.05066,0
32,1,-12.952195999999999,187.54292,0
32,0,-70.1902515,-287.794465,0
33,1,-13.179995500000002,187.558075,0
33,0,-70.687825,-287.73251500000003,0
34,1,-12.568885000000002,183.73316,0
34,0,-71.1817525,-287.11633,0
35,1,-12.1733525,179.11848500000002,0
35,0,-70.79058,-287.29169,0
36,1,-12.155227500000002,174.4169,0
36,0,-71.04117500000001,-285.975845,0
37,1,-12.790292999999998,171.21280000000002,0
37,0,-70.95980800000001,-286.452475,0
38,1,-13.112482,173.667835,0
38,0,-97.77389,-287.40509,0
39,1,-12.619187,181.17109,0
39,0,-98.38297,-286.19475,0
40,1,-12.054399,188.903665,0
40,0,-99.059719,-286.34535,0
41,1,-12.153030000000001,192.61458,0
41,0,-97.017335,-222.99442499999998,0
42,1,-11.969973499999998,192.76069999999999,0
42,0,-99.23266000000001,-222.362775,0
43,1,-11.916743999999998,193.1677,0
43,0,-99.3943675,-212.161225,0
44,1,-11.72147,191.99668,0
44,0,-98.9728525,-195.76991500000003,0
45,1,-11.5609265,185.33309500000001,0
45,0,-98.770082,-196.434555,0
46,1,-10.740492500000002,177.126235,0
46,0,-98.6088445,-212.475335,0
47,1,-9.867944999999999,172.241075,0
47,0,-98.97497999999999,-215.12905,0
48,1,-8.922284000000001,170.640235,0
48,0,-102.831458,-212.994325,0
49,1,-8.413231,177.90903500000002,0
49,0,-99.6833875,-212.36235,0
50,1,-7.994377,185.012035,0
50,0,-100.3014,-211.73089,0
51,1,-7.608796000000002,188.069595,0
51,0,-102.470105,-176.005435,0
52,1,-7.536842,188.72310499999998,0
52,0,-102.47444250000001,-179.165015,0
53,1,-7.576207999999998,188.76119,0
53,0,-103.4083725,-216.24398,0
54,1,-7.604385000000001,189.47410000000002,0
54,0,-102.46598,-181.4108,0
55,1,-7.662679999999998,189.54726,0
55,0,-102.54999000000001,-181.66202,0
56,1,-7.881056000000001,190.12745999999999,0
56,0,-102.581753,-182.90579,0
57,1,-8.122834999999998,190.17678,0
57,0,-104.95596,-181.10871500000002,0
58,1,-8.115723,190.550055,0
58,0,-107.8631875,-185.640925,0
59,1,-8.259844999999999,191.13000499999998,0
59,0,-110.91528500000001,-189.203235,0
60,1,-8.223147999999998,190.254325,0
60,0,-115.09814,-198.12147,0
61,1,-8.035702,191.406905,0
61,0,-106.88922,-208.01205,0
62,1,-7.997378000000001,191.95058999999998,0
62,0,-109.78441749999999,-227.891245,0
63,1,-8.037391,191.52735,0
